name,mentions,week
George W. Bush,3,2015-03-29
George W. Bush,0,2015-04-05
George W. Bush,2,2015-04-12
George W. Bush,0,2015-04-19
George W. Bush,1,2015-04-26
George W. Bush,2,2015-05-03
George W. Bush,1,2015-05-10
George W. Bush,1,2015-05-17
George W. Bush,1,2015-05-24
George W. Bush,0,2015-05-31
George W. Bush,1,2015-06-07
George W. Bush,0,2015-06-14
Robert Scheer,2,2015-02-15
Robert Scheer,1,2015-02-22
Robert Scheer,1,2015-03-01
Robert Scheer,1,2015-03-08
Robert Scheer,1,2015-03-15
Robert Scheer,1,2015-03-22
Robert Scheer,1,2015-03-29
Robert Scheer,1,2015-04-05
Robert Scheer,0,2015-04-12
Robert Scheer,0,2015-04-19
Robert Scheer,0,2015-04-26
Robert Scheer,0,2015-05-03
Robert Scheer,0,2015-05-10
Robert Scheer,0,2015-05-17
Robert Scheer,0,2015-05-24
Robert Scheer,0,2015-05-31
Robert Scheer,0,2015-06-07
Robert Scheer,0,2015-06-14
Michael Moore,1,2015-02-15
Michael Moore,0,2015-02-22
Michael Moore,0,2015-03-01
Michael Moore,0,2015-03-08
Michael Moore,0,2015-03-15
Michael Moore,0,2015-03-22
Michael Moore,0,2015-03-29
Michael Moore,2,2015-04-05
Michael Moore,2,2015-04-12
Michael Moore,0,2015-04-19
Michael Moore,3,2015-04-26
Michael Moore,0,2015-05-03
Michael Moore,0,2015-05-10
Michael Moore,0,2015-05-17
Michael Moore,0,2015-05-24
Michael Moore,1,2015-05-31
Michael Moore,0,2015-06-07
Michael Moore,0,2015-06-14
Elizabeth Warren,1,2015-02-15
Elizabeth Warren,1,2015-02-22
Elizabeth Warren,0,2015-03-01
Elizabeth Warren,0,2015-03-08
Elizabeth Warren,0,2015-03-15
Elizabeth Warren,1,2015-03-22
Elizabeth Warren,1,2015-03-29
Elizabeth Warren,0,2015-04-05
Elizabeth Warren,4,2015-04-12
Elizabeth Warren,0,2015-04-19
Elizabeth Warren,2,2015-04-26
Elizabeth Warren,2,2015-05-03
Elizabeth Warren,3,2015-05-10
Elizabeth Warren,1,2015-05-17
Elizabeth Warren,1,2015-05-24
Elizabeth Warren,1,2015-05-31
Elizabeth Warren,1,2015-06-07
Elizabeth Warren,0,2015-06-14
Robert Durst,3,2015-02-15
Robert Durst,4,2015-02-22
Robert Durst,0,2015-03-01
Robert Durst,0,2015-03-08
Robert Durst,2,2015-03-15
Robert Durst,0,2015-03-22
Robert Durst,0,2015-03-29
Robert Durst,1,2015-04-05
Robert Durst,0,2015-04-12
Robert Durst,0,2015-04-19
Robert Durst,0,2015-04-26
Robert Durst,0,2015-05-03
Robert Durst,1,2015-05-10
Robert Durst,0,2015-05-17
Robert Durst,1,2015-05-24
Robert Durst,1,2015-05-31
Robert Durst,0,2015-06-07
Robert Durst,0,2015-06-14
Steve Martin,1,2015-02-22
Steve Martin,0,2015-03-01
Steve Martin,0,2015-03-08
Steve Martin,0,2015-03-15
Steve Martin,0,2015-03-22
Steve Martin,1,2015-03-29
Steve Martin,0,2015-04-05
Steve Martin,1,2015-04-12
Steve Martin,0,2015-04-19
Steve Martin,0,2015-04-26
Steve Martin,1,2015-05-03
Steve Martin,2,2015-05-10
Steve Martin,0,2015-05-17
Steve Martin,0,2015-05-24
Steve Martin,3,2015-05-31
Steve Martin,2,2015-06-07
Steve Martin,1,2015-06-14
Steve Martin,0,2015-02-15
Jean Grey,1,2015-02-22
Jean Grey,0,2015-03-01
Jean Grey,0,2015-03-08
Jean Grey,0,2015-03-15
Jean Grey,0,2015-03-22
Jean Grey,0,2015-03-29
Jean Grey,0,2015-04-05
Jean Grey,0,2015-04-12
Jean Grey,1,2015-04-19
Jean Grey,2,2015-04-26
Jean Grey,1,2015-05-03
Jean Grey,1,2015-05-10
Jean Grey,1,2015-05-17
Jean Grey,1,2015-05-24
Jean Grey,2,2015-05-31
Jean Grey,0,2015-02-15
Jean Grey,0,2015-06-07
Jean Grey,0,2015-06-14
Lady Gaga,1,2015-02-15
Lady Gaga,2,2015-02-22
Lady Gaga,1,2015-03-01
Lady Gaga,0,2015-03-08
Lady Gaga,0,2015-03-15
Lady Gaga,2,2015-03-22
Lady Gaga,0,2015-03-29
Lady Gaga,0,2015-04-05
Lady Gaga,1,2015-04-12
Lady Gaga,1,2015-04-19
Lady Gaga,0,2015-04-26
Lady Gaga,0,2015-05-03
Lady Gaga,2,2015-05-10
Lady Gaga,1,2015-05-17
Lady Gaga,0,2015-05-24
Lady Gaga,0,2015-05-31
Lady Gaga,0,2015-06-07
Lady Gaga,0,2015-06-14
California,14,2015-02-15
California,5,2015-02-22
California,11,2015-03-01
California,8,2015-03-08
California,10,2015-03-15
California,9,2015-03-22
California,9,2015-03-29
California,10,2015-04-05
California,18,2015-04-12
California,1,2015-04-19
California,2,2015-04-26
California,1,2015-05-03
California,0,2015-05-10
California,1,2015-05-17
California,0,2015-05-24
California,1,2015-05-31
California,0,2015-06-07
California,1,2015-06-14
Ted Cruz,3,2015-02-22
Ted Cruz,0,2015-03-01
Ted Cruz,0,2015-03-08
Ted Cruz,1,2015-03-15
Ted Cruz,2,2015-03-22
Ted Cruz,1,2015-03-29
Ted Cruz,2,2015-04-05
Ted Cruz,6,2015-04-12
Ted Cruz,2,2015-04-19
Ted Cruz,2,2015-04-26
Ted Cruz,3,2015-05-03
Ted Cruz,4,2015-05-10
Ted Cruz,0,2015-05-17
Ted Cruz,1,2015-05-24
Ted Cruz,0,2015-02-15
Ted Cruz,0,2015-05-31
Ted Cruz,0,2015-06-07
Ted Cruz,0,2015-06-14
Charles Barkley,1,2015-02-22
Charles Barkley,0,2015-03-01
Charles Barkley,0,2015-03-08
Charles Barkley,0,2015-03-15
Charles Barkley,0,2015-03-22
Charles Barkley,0,2015-03-29
Charles Barkley,0,2015-04-05
Charles Barkley,0,2015-04-12
Charles Barkley,1,2015-04-19
Charles Barkley,0,2015-04-26
Charles Barkley,0,2015-05-03
Charles Barkley,2,2015-05-10
Charles Barkley,2,2015-05-17
Charles Barkley,1,2015-05-24
Charles Barkley,0,2015-05-31
Charles Barkley,2,2015-06-07
Charles Barkley,0,2015-02-15
Charles Barkley,0,2015-06-14
John McCain,2,2015-02-15
John McCain,1,2015-02-22
John McCain,0,2015-03-01
John McCain,1,2015-03-08
John McCain,0,2015-03-15
John McCain,0,2015-03-22
John McCain,1,2015-03-29
John McCain,0,2015-04-05
John McCain,1,2015-04-12
John McCain,0,2015-04-19
John McCain,0,2015-04-26
John McCain,0,2015-05-03
John McCain,0,2015-05-10
John McCain,2,2015-05-17
John McCain,1,2015-05-24
John McCain,1,2015-05-31
John McCain,0,2015-06-07
John McCain,0,2015-06-14
Mark Zuckerberg,1,2015-02-15
Mark Zuckerberg,1,2015-02-22
Mark Zuckerberg,0,2015-03-01
Mark Zuckerberg,1,2015-03-08
Mark Zuckerberg,1,2015-03-15
Mark Zuckerberg,1,2015-03-22
Mark Zuckerberg,1,2015-03-29
Mark Zuckerberg,1,2015-04-05
Mark Zuckerberg,2,2015-04-12
Mark Zuckerberg,0,2015-04-19
Mark Zuckerberg,0,2015-04-26
Mark Zuckerberg,3,2015-05-03
Mark Zuckerberg,4,2015-05-10
Mark Zuckerberg,2,2015-05-17
Mark Zuckerberg,0,2015-05-24
Mark Zuckerberg,1,2015-05-31
Mark Zuckerberg,0,2015-06-07
Mark Zuckerberg,0,2015-06-14
Warren Buffett,1,2015-03-08
Warren Buffett,0,2015-03-15
Warren Buffett,0,2015-03-22
Warren Buffett,0,2015-03-29
Warren Buffett,2,2015-04-05
Warren Buffett,0,2015-04-12
Warren Buffett,1,2015-04-19
Warren Buffett,1,2015-04-26
Warren Buffett,0,2015-05-03
Warren Buffett,3,2015-05-10
Warren Buffett,2,2015-05-17
Warren Buffett,1,2015-05-24
Warren Buffett,0,2015-03-01
Warren Buffett,0,2015-02-22
Warren Buffett,0,2015-02-15
Warren Buffett,0,2015-05-31
Warren Buffett,0,2015-06-07
Warren Buffett,0,2015-06-14
Abraham Lincoln,1,2015-02-15
Abraham Lincoln,1,2015-02-22
Abraham Lincoln,1,2015-03-01
Abraham Lincoln,0,2015-03-08
Abraham Lincoln,0,2015-03-15
Abraham Lincoln,0,2015-03-22
Abraham Lincoln,0,2015-03-29
Abraham Lincoln,0,2015-04-05
Abraham Lincoln,3,2015-04-12
Abraham Lincoln,3,2015-04-19
Abraham Lincoln,0,2015-04-26
Abraham Lincoln,1,2015-05-03
Abraham Lincoln,1,2015-05-10
Abraham Lincoln,3,2015-05-17
Abraham Lincoln,1,2015-05-24
Abraham Lincoln,1,2015-05-31
Abraham Lincoln,4,2015-06-07
Abraham Lincoln,0,2015-06-14
Chris Rock,2,2015-02-22
Chris Rock,0,2015-03-01
Chris Rock,0,2015-03-08
Chris Rock,0,2015-03-15
Chris Rock,0,2015-03-22
Chris Rock,0,2015-03-29
Chris Rock,0,2015-04-05
Chris Rock,1,2015-04-12
Chris Rock,3,2015-04-19
Chris Rock,1,2015-04-26
Chris Rock,1,2015-05-03
Chris Rock,0,2015-05-10
Chris Rock,2,2015-05-17
Chris Rock,2,2015-05-24
Chris Rock,3,2015-05-31
Chris Rock,1,2015-06-07
Chris Rock,0,2015-02-15
Chris Rock,0,2015-06-14
Howard Stern,2,2015-02-15
Howard Stern,4,2015-02-22
Howard Stern,0,2015-03-01
Howard Stern,0,2015-03-08
Howard Stern,0,2015-03-15
Howard Stern,0,2015-03-22
Howard Stern,0,2015-03-29
Howard Stern,0,2015-04-05
Howard Stern,9,2015-04-12
Howard Stern,3,2015-04-19
Howard Stern,5,2015-04-26
Howard Stern,5,2015-05-03
Howard Stern,1,2015-05-10
Howard Stern,4,2015-05-17
Howard Stern,2,2015-05-24
Howard Stern,4,2015-05-31
Howard Stern,1,2015-06-07
Howard Stern,2,2015-06-14
John Boehner,6,2015-02-22
John Boehner,2,2015-03-01
John Boehner,0,2015-03-08
John Boehner,0,2015-03-15
John Boehner,1,2015-03-22
John Boehner,2,2015-03-29
John Boehner,0,2015-04-05
John Boehner,0,2015-04-12
John Boehner,0,2015-04-19
John Boehner,0,2015-04-26
John Boehner,1,2015-05-03
John Boehner,0,2015-05-10
John Boehner,1,2015-05-17
John Boehner,0,2015-02-15
John Boehner,0,2015-05-24
John Boehner,0,2015-05-31
John Boehner,0,2015-06-07
John Boehner,0,2015-06-14
Kobe Bryant,1,2015-02-22
Kobe Bryant,1,2015-03-01
Kobe Bryant,0,2015-03-08
Kobe Bryant,0,2015-03-15
Kobe Bryant,0,2015-03-22
Kobe Bryant,0,2015-03-29
Kobe Bryant,0,2015-04-05
Kobe Bryant,0,2015-04-12
Kobe Bryant,0,2015-04-19
Kobe Bryant,1,2015-04-26
Kobe Bryant,0,2015-05-03
Kobe Bryant,1,2015-05-10
Kobe Bryant,0,2015-05-17
Kobe Bryant,1,2015-05-24
Kobe Bryant,3,2015-05-31
Kobe Bryant,2,2015-06-07
Kobe Bryant,3,2015-06-14
Kobe Bryant,0,2015-02-15
John Gruber,1,2015-02-22
John Gruber,2,2015-03-01
John Gruber,0,2015-03-08
John Gruber,0,2015-03-15
John Gruber,0,2015-03-22
John Gruber,0,2015-03-29
John Gruber,1,2015-04-05
John Gruber,0,2015-04-12
John Gruber,0,2015-04-19
John Gruber,3,2015-04-26
John Gruber,1,2015-05-03
John Gruber,1,2015-05-10
John Gruber,0,2015-05-17
John Gruber,2,2015-05-24
John Gruber,1,2015-05-31
John Gruber,1,2015-06-07
John Gruber,0,2015-02-15
John Gruber,0,2015-06-14
David Marks,1,2015-02-15
David Marks,3,2015-02-22
David Marks,1,2015-03-01
